alt,lat,tilt_deg,landed,final_alt,landing_vel,final_att,lateral_err,control_effort,flight_time
40,0,0,0,0.0,99.0,99.0,99.0,99.0,0.0
40,0,5,0,0.0,99.0,99.0,99.0,99.0,0.0
40,0,10,0,0.0,99.0,99.0,99.0,99.0,0.0
40,0,15,0,0.0,99.0,99.0,99.0,99.0,0.0
40,0,20,0,0.0,99.0,99.0,99.0,99.0,0.0
40,0,25,0,0.0,99.0,99.0,99.0,99.0,0.0
40,0,30,0,0.0,99.0,99.0,99.0,99.0,0.0
40,10,0,0,0.0,99.0,99.0,99.0,99.0,0.0
40,10,5,0,0.0,99.0,99.0,99.0,99.0,0.0
40,10,10,0,0.0,99.0,99.0,99.0,99.0,0.0
40,10,15,0,0.0,99.0,99.0,99.0,99.0,0.0
40,10,20,0,0.0,99.0,99.0,99.0,99.0,0.0
40,10,25,0,0.0,99.0,99.0,99.0,99.0,0.0
40,10,30,0,0.0,99.0,99.0,99.0,99.0,0.0
40,20,0,0,0.0,99.0,99.0,99.0,99.0,0.0
40,20,5,0,0.0,99.0,99.0,99.0,99.0,0.0
40,20,10,0,0.0,99.0,99.0,99.0,99.0,0.0
40,20,15,0,0.0,99.0,99.0,99.0,99.0,0.0
40,20,20,0,0.0,99.0,99.0,99.0,99.0,0.0
40,20,25,0,0.0,99.0,99.0,99.0,99.0,0.0
40,20,30,0,0.0,99.0,99.0,99.0,99.0,0.0
40,30,0,0,0.0,99.0,99.0,99.0,99.0,0.0
40,30,5,0,0.0,99.0,99.0,99.0,99.0,0.0
40,30,10,0,0.0,99.0,99.0,99.0,99.0,0.0
40,30,15,0,0.0,99.0,99.0,99.0,99.0,0.0
40,30,20,0,0.0,99.0,99.0,99.0,99.0,0.0
40,30,25,0,0.0,99.0,99.0,99.0,99.0,0.0
40,30,30,0,0.0,99.0,99.0,99.0,99.0,0.0
40,40,0,0,0.0,99.0,99.0,99.0,99.0,0.0
40,40,5,0,0.0,99.0,99.0,99.0,99.0,0.0
40,40,10,0,0.0,99.0,99.0,99.0,99.0,0.0
40,40,15,0,0.0,99.0,99.0,99.0,99.0,0.0
40,40,20,0,0.0,99.0,99.0,99.0,99.0,0.0
40,40,25,0,0.0,99.0,99.0,99.0,99.0,0.0
40,40,30,0,0.0,99.0,99.0,99.0,99.0,0.0
40,50,0,0,0.0,99.0,99.0,99.0,99.0,0.0
40,50,5,0,0.0,99.0,99.0,99.0,99.0,0.0
40,50,10,0,0.0,99.0,99.0,99.0,99.0,0.0
40,50,15,0,0.0,99.0,99.0,99.0,99.0,0.0
40,50,20,0,0.0,99.0,99.0,99.0,99.0,0.0
40,50,25,0,0.0,99.0,99.0,99.0,99.0,0.0
40,50,30,0,0.0,99.0,99.0,99.0,99.0,0.0
60,0,0,0,0.0,99.0,99.0,99.0,99.0,0.0
60,0,5,0,0.0,99.0,99.0,99.0,99.0,0.0
60,0,10,0,0.0,99.0,99.0,99.0,99.0,0.0
60,0,15,0,0.0,99.0,99.0,99.0,99.0,0.0
60,0,20,0,0.0,99.0,99.0,99.0,99.0,0.0
60,0,25,0,0.0,99.0,99.0,99.0,99.0,0.0
60,0,30,0,0.0,99.0,99.0,99.0,99.0,0.0
60,10,0,0,0.0,99.0,99.0,99.0,99.0,0.0
60,10,5,0,0.0,99.0,99.0,99.0,99.0,0.0
60,10,10,0,0.0,99.0,99.0,99.0,99.0,0.0
60,10,15,0,0.0,99.0,99.0,99.0,99.0,0.0
60,10,20,0,0.0,99.0,99.0,99.0,99.0,0.0
60,10,25,0,0.0,99.0,99.0,99.0,99.0,0.0
60,10,30,0,0.0,99.0,99.0,99.0,99.0,0.0
60,20,0,0,0.0,99.0,99.0,99.0,99.0,0.0
60,20,5,0,0.0,99.0,99.0,99.0,99.0,0.0
60,20,10,0,0.0,99.0,99.0,99.0,99.0,0.0
60,20,15,0,0.0,99.0,99.0,99.0,99.0,0.0
60,20,20,0,0.0,99.0,99.0,99.0,99.0,0.0
60,20,25,0,0.0,99.0,99.0,99.0,99.0,0.0
60,20,30,0,0.0,99.0,99.0,99.0,99.0,0.0
