alt,lat,tilt_deg,landed,final_alt,landing_vel,final_att,lateral_err,control_effort,flight_time
40,0,0,1,0.48228713870048523,1.4723783731460571,0.13799315690994263,0.012007961980998516,329.53265380859375,4.4
40,0,5,0,7.521909713745117,6.039858818054199,108.0414047241211,11.392171859741211,186.65231323242188,3.86
40,0,10,0,8.285332679748535,3.0521135330200195,108.4114990234375,15.88621997833252,116.68833923339844,3.2800000000000002
40,0,15,0,10.515193939208984,3.123037099838257,108.13097381591797,19.37673568725586,107.84820556640625,2.88
40,0,20,0,13.530402183532715,5.57161808013916,107.6704330444336,22.072004318237305,96.65629577636719,2.58
40,0,25,0,17.5964412689209,6.7735724449157715,107.75391387939453,22.63153839111328,115.66806030273438,2.34
40,0,30,0,21.65768051147461,7.375540733337402,107.9430160522461,22.264633178710938,122.7599105834961,2.12
40,10,0,0,0.4932895004749298,1.266005277633667,35.381202697753906,0.934315025806427,369.7458190917969,3.72
40,10,5,0,5.466748237609863,8.161656379699707,108.24726104736328,11.037138938903809,349.16796875,3.8000000000000003
40,10,10,0,4.408883094787598,9.751251220703125,108.24437713623047,14.299875259399414,301.2380676269531,3.2
40,10,15,0,10.452348709106445,3.6661107540130615,107.79106140136719,19.10026741027832,263.03326416015625,2.82
40,10,20,0,13.422914505004883,9.381487846374512,107.59269714355469,21.377273559570312,251.97105407714844,2.52
40,10,25,0,18.153575897216797,10.80431079864502,107.21131896972656,23.1734561920166,230.40260314941406,2.2800000000000002
40,10,30,0,22.69335174560547,11.409513473510742,108.14662170410156,22.768342971801758,224.22750854492188,2.08
40,20,0,0,0.25097575783729553,28.326942443847656,39.62682342529297,11.639727592468262,135.47430419921875,2.06
40,20,5,0,0.33844301104545593,28.316844940185547,34.34641647338867,11.45761489868164,165.1751251220703,2.08
40,20,10,0,3.2445662021636963,25.187162399291992,113.1888198852539,12.691434860229492,218.94100952148438,2.32
40,20,15,0,9.063661575317383,20.534603118896484,108.14667510986328,18.083581924438477,267.78717041015625,2.52
40,20,20,0,2.596376657485962,28.503814697265625,107.27548217773438,12.914196014404297,235.04483032226562,2.2
40,20,25,0,4.11843729019165,28.897855758666992,107.90205383300781,16.110383987426758,210.64356994628906,1.98
40,20,30,0,8.682502746582031,27.353252410888672,107.81304931640625,20.338361740112305,190.67941284179688,1.8
40,30,0,0,15.770627975463867,24.602941513061523,107.48696899414062,27.25811004638672,92.55181121826172,1.3800000000000001
40,30,5,0,16.71048355102539,24.079185485839844,108.02685546875,27.642885208129883,113.63998413085938,1.34
40,30,10,0,17.29551887512207,23.822622299194336,107.4372329711914,28.042705535888672,133.15464782714844,1.32
40,30,15,0,18.94638442993164,22.983476638793945,107.44463348388672,28.749591827392578,144.4091033935547,1.26
40,30,20,0,20.727935791015625,22.16093635559082,108.48353576660156,29.327457427978516,142.14715576171875,1.2
40,30,25,0,22.18191146850586,21.71378517150879,109.60674285888672,29.556425094604492,136.12857055664062,1.16
40,30,30,0,24.153207778930664,20.887075424194336,107.26319122314453,29.85131072998047,133.00694274902344,1.1
40,40,0,0,21.686748504638672,21.526519775390625,107.23567962646484,38.41846466064453,90.88258361816406,1.1
40,40,5,0,21.701169967651367,21.55014991760254,107.43102264404297,38.47178649902344,109.33499145507812,1.1
40,40,10,0,21.839282989501953,21.612668991088867,109.62301635742188,38.64054870605469,129.89434814453125,1.1
40,40,15,0,22.536645889282227,21.3566951751709,109.88630676269531,38.9561882019043,142.4137420654297,1.08
40,40,20,0,23.796810150146484,20.76939582824707,108.50995635986328,39.17925262451172,138.18157958984375,1.04
40,40,25,0,24.7507381439209,20.54612922668457,107.9007339477539,39.25227737426758,137.83740234375,1.02
40,40,30,0,25.800212860107422,20.228612899780273,109.7790756225586,39.432804107666016,135.83892822265625,1.0
40,50,0,0,22.46030044555664,20.986284255981445,109.78915405273438,48.50239562988281,97.4025650024414,1.06
40,50,5,0,22.47422218322754,21.03471565246582,109.87386322021484,48.546627044677734,114.58849334716797,1.06
40,50,10,0,23.02009391784668,20.75816535949707,108.0541000366211,48.750362396240234,133.27569580078125,1.04
40,50,15,0,23.71188735961914,20.482009887695312,108.03590393066406,48.98735427856445,143.07835388183594,1.02
40,50,20,0,24.53890609741211,20.217716217041016,108.35892486572266,49.10127258300781,141.88400268554688,1.0
40,50,25,0,25.074634552001953,20.314809799194336,111.35084533691406,49.12992477416992,143.41717529296875,1.0
40,50,30,0,26.106679916381836,20.015045166015625,112.23222351074219,49.26729202270508,141.87530517578125,0.98
60,0,0,1,0.47463881969451904,1.46711266040802,0.04806128889322281,0.005736704915761948,345.2322082519531,5.54
60,0,5,0,8.308182716369629,1.8160946369171143,108.1243896484375,18.09079360961914,88.63652038574219,4.22
60,0,10,0,17.766990661621094,5.740778923034668,107.4314956665039,23.399526596069336,61.913475036621094,3.42
60,0,15,0,26.999711990356445,5.932800769805908,107.50802612304688,22.99193000793457,78.84324645996094,2.92
60,0,20,0,33.08945083618164,6.395701885223389,107.23088836669922,22.74922752380371,96.34304809570312,2.58
60,0,25,0,37.59645462036133,6.7735724449157715,107.75391387939453,22.63153839111328,115.66806030273438,2.34
60,0,30,0,41.65767288208008,7.375540733337402,107.9430160522461,22.264633178710938,122.7599105834961,2.12
60,10,0,0,0.49440523982048035,1.591174602508545,26.72880744934082,0.6177003383636475,465.6947021484375,4.86
60,10,5,0,7.712903022766113,4.581896781921387,108.28841400146484,17.682981491088867,357.9986572265625,4.16
60,10,10,0,13.273137092590332,11.013581275939941,107.70124053955078,26.22197151184082,251.10232543945312,3.4
60,10,15,0,22.222318649291992,14.248462677001953,107.93488311767578,25.87999153137207,224.81414794921875,2.9
60,10,20,0,31.588592529296875,13.102505683898926,108.16475677490234,24.970905303955078,227.02806091308594,2.56
60,10,25,0,37.66117858886719,12.091422080993652,107.96643829345703,24.137968063354492,236.59829711914062,2.3000000000000003
60,10,30,0,42.693355560302734,11.409513473510742,108.14662170410156,22.768342971801758,224.22750854492188,2.08
60,20,0,0,0.11891379952430725,23.09579849243164,60.519073486328125,1.8552428483963013,225.5428924560547,2.9
60,20,5,0,10.603513717651367,21.578500747680664,108.04011535644531,14.842751502990723,248.03688049316406,2.7800000000000002
60,20,10,0,22.26682472229004,25.40737533569336,108.85932922363281,13.690177917480469,206.71690368652344,2.38
60,20,15,0,27.972227096557617,22.606233596801758,107.93759155273438,18.27702522277832,237.2340850830078,2.52
60,20,20,0,22.61274528503418,29.350465774536133,107.19365692138672,13.172706604003906,217.66229248046875,2.2
60,20,25,0,24.134756088256836,29.0137996673584,107.86321258544922,16.14133071899414,207.30490112304688,1.98
60,20,30,0,28.682518005371094,27.353252410888672,107.81304931640625,20.338361740112305,190.67941284179688,1.8
60,30,0,0,35.7706298828125,24.602941513061523,107.48696899414062,27.25811004638672,92.55181121826172,1.3800000000000001
60,30,5,0,36.710479736328125,24.079185485839844,108.02685546875,27.642885208129883,113.63998413085938,1.34
60,30,10,0,37.295509338378906,23.822622299194336,107.4372329711914,28.042705535888672,133.15464782714844,1.32
60,30,15,0,38.94639205932617,22.983476638793945,107.44463348388672,28.749591827392578,144.4091033935547,1.26
60,30,20,0,40.72793960571289,22.16093635559082,108.48353576660156,29.327457427978516,142.14715576171875,1.2
60,30,25,0,42.18192672729492,21.71378517150879,109.60674285888672,29.556425094604492,136.12857055664062,1.16
60,30,30,0,44.153221130371094,20.887075424194336,107.26319122314453,29.85131072998047,133.00694274902344,1.1
60,40,0,0,41.6867561340332,21.526519775390625,107.23567962646484,38.41846466064453,90.88258361816406,1.1
60,40,5,0,41.701171875,21.55014991760254,107.43102264404297,38.47178649902344,109.33499145507812,1.1
60,40,10,0,41.83927536010742,21.612668991088867,109.62301635742188,38.64054870605469,129.89434814453125,1.1
60,40,15,0,42.536643981933594,21.3566951751709,109.88630676269531,38.9561882019043,142.4137420654297,1.08
60,40,20,0,43.796810150146484,20.76939582824707,108.50995635986328,39.17925262451172,138.18157958984375,1.04
60,40,25,0,44.7507438659668,20.54612922668457,107.9007339477539,39.25227737426758,137.83740234375,1.02
60,40,30,0,45.80022048950195,20.228612899780273,109.7790756225586,39.432804107666016,135.83892822265625,1.0
60,50,0,0,42.460296630859375,20.986284255981445,109.78915405273438,48.50239562988281,97.4025650024414,1.06
60,50,5,0,42.47422409057617,21.03471565246582,109.87386322021484,48.546627044677734,114.58849334716797,1.06
60,50,10,0,43.02009582519531,20.75816535949707,108.0541000366211,48.750362396240234,133.27569580078125,1.04
60,50,15,0,43.71187973022461,20.482009887695312,108.03590393066406,48.98735427856445,143.07835388183594,1.02
60,50,20,0,44.53890609741211,20.217716217041016,108.35892486572266,49.10127258300781,141.88400268554688,1.0
60,50,25,0,45.07462692260742,20.314809799194336,111.35084533691406,49.12992477416992,143.41717529296875,1.0
60,50,30,0,46.106666564941406,20.015045166015625,112.23222351074219,49.26729202270508,141.87530517578125,0.98
80,0,0,1,0.49184921383857727,1.4792931079864502,0.08240915089845657,0.008657952770590782,366.0291442871094,6.58
80,0,5,0,20.570018768310547,5.810245037078857,108.01611328125,24.37649917602539,48.2533073425293,4.32
80,0,10,0,37.767005920410156,5.740778923034668,107.4314956665039,23.399526596069336,61.913475036621094,3.42
80,0,15,0,46.99967575073242,5.932800769805908,107.50802612304688,22.99193000793457,78.84324645996094,2.92
80,0,20,0,53.089447021484375,6.395701885223389,107.23088836669922,22.74922752380371,96.34304809570312,2.58
80,0,25,0,57.59646987915039,6.7735724449157715,107.75391387939453,22.63153839111328,115.66806030273438,2.34
80,0,30,0,61.657649993896484,7.375540733337402,107.9430160522461,22.264633178710938,122.7599105834961,2.12
80,10,0,0,0.4812111556529999,1.547741174697876,0.8719531297683716,0.3553175926208496,568.151123046875,6.24
80,10,5,0,11.102469444274902,10.846735954284668,108.04447174072266,28.163301467895508,279.1241455078125,4.34
80,10,10,0,32.630409240722656,11.374101638793945,108.19335174560547,27.670448303222656,237.0908660888672,3.42
80,10,15,0,42.22231674194336,14.248462677001953,107.93488311767578,25.87999153137207,224.81414794921875,2.9
80,10,20,0,51.58855438232422,13.102505683898926,108.16475677490234,24.970905303955078,227.02806091308594,2.56
80,10,25,0,57.66117858886719,12.091422080993652,107.96643829345703,24.137968063354492,236.59829711914062,2.3000000000000003
80,10,30,0,62.693359375,11.409513473510742,108.14662170410156,22.768342971801758,224.22750854492188,2.08
80,20,0,0,0.34356746077537537,16.436838150024414,36.096927642822266,0.41884705424308777,336.3135681152344,3.84
80,20,5,0,16.037466049194336,19.801544189453125,108.0621109008789,31.137998580932617,293.2419738769531,3.72
80,20,10,0,42.32101821899414,27.41923713684082,107.67962646484375,14.292295455932617,191.87985229492188,2.4
80,20,15,0,48.032325744628906,25.800548553466797,107.8418197631836,18.62885856628418,220.08030700683594,2.52
80,20,20,0,42.61274719238281,29.369482040405273,107.19365692138672,13.172706604003906,217.59962463378906,2.2
80,20,25,0,44.134735107421875,29.0137996673584,107.86321258544922,16.14133071899414,207.30490112304688,1.98
80,20,30,0,48.6824951171875,27.353252410888672,107.81304931640625,20.338361740112305,190.67941284179688,1.8
80,30,0,0,55.770626068115234,24.602941513061523,107.48696899414062,27.25811004638672,92.55181121826172,1.3800000000000001
80,30,5,0,56.710506439208984,24.079185485839844,108.02685546875,27.642885208129883,113.63998413085938,1.34
80,30,10,0,57.2955436706543,23.822622299194336,107.4372329711914,28.042705535888672,133.15464782714844,1.32
80,30,15,0,58.94639205932617,22.983476638793945,107.44463348388672,28.749591827392578,144.4091033935547,1.26
80,30,20,0,60.727935791015625,22.16093635559082,108.48353576660156,29.327457427978516,142.14715576171875,1.2
80,30,25,0,62.18190002441406,21.71378517150879,109.60674285888672,29.556425094604492,136.12857055664062,1.16
80,30,30,0,64.15320587158203,20.887075424194336,107.26319122314453,29.85131072998047,133.00694274902344,1.1
80,40,0,0,61.68673324584961,21.526519775390625,107.23567962646484,38.41846466064453,90.88258361816406,1.1
80,40,5,0,61.70117950439453,21.55014991760254,107.43102264404297,38.47178649902344,109.33499145507812,1.1
80,40,10,0,61.83930969238281,21.612668991088867,109.62301635742188,38.64054870605469,129.89434814453125,1.1
80,40,15,0,62.53662109375,21.3566951751709,109.88630676269531,38.9561882019043,142.4137420654297,1.08
80,40,20,0,63.79679489135742,20.76939582824707,108.50995635986328,39.17925262451172,138.18157958984375,1.04
80,40,25,0,64.7507553100586,20.54612922668457,107.9007339477539,39.25227737426758,137.83740234375,1.02
80,40,30,0,65.80020904541016,20.228612899780273,109.7790756225586,39.432804107666016,135.83892822265625,1.0
80,50,0,0,62.46030807495117,20.986284255981445,109.78915405273438,48.50239562988281,97.4025650024414,1.06
80,50,5,0,62.474220275878906,21.03471565246582,109.87386322021484,48.546627044677734,114.58849334716797,1.06
80,50,10,0,63.02012634277344,20.75816535949707,108.0541000366211,48.750362396240234,133.27569580078125,1.04
80,50,15,0,63.71188735961914,20.482009887695312,108.03590393066406,48.98735427856445,143.07835388183594,1.02
80,50,20,0,64.5389175415039,20.217716217041016,108.35892486572266,49.10127258300781,141.88400268554688,1.0
80,50,25,0,65.07463073730469,20.314809799194336,111.35084533691406,49.12992477416992,143.41717529296875,1.0
80,50,30,0,66.106689453125,20.015045166015625,112.23222351074219,49.26729202270508,141.87530517578125,0.98
100,0,0,1,0.4989449083805084,1.4843674898147583,0.04301018267869949,0.0031374574173241854,386.7334899902344,7.5600000000000005
100,0,5,0,40.56999206542969,5.810245037078857,108.01611328125,24.37649917602539,48.2533073425293,4.32
100,0,10,0,57.76698684692383,5.740778923034668,107.4314956665039,23.399526596069336,61.913475036621094,3.42
100,0,15,0,66.99971771240234,5.932800769805908,107.50802612304688,22.99193000793457,78.84324645996094,2.92
100,0,20,0,73.08941650390625,6.395701885223389,107.23088836669922,22.74922752380371,96.34304809570312,2.58
100,0,25,0,77.5964584350586,6.7735724449157715,107.75391387939453,22.63153839111328,115.66806030273438,2.34
100,0,30,0,81.65766143798828,7.375540733337402,107.9430160522461,22.264633178710938,122.7599105834961,2.12
100,10,0,0,0.43753373622894287,8.318598747253418,28.954086303710938,0.582996666431427,441.6259765625,5.36
100,10,5,0,30.243925094604492,13.059255599975586,107.6985092163086,28.870094299316406,274.59442138671875,4.34
100,10,10,0,52.63038635253906,11.374101638793945,108.19335174560547,27.670448303222656,237.0908660888672,3.42
100,10,15,0,62.22232437133789,14.248462677001953,107.93488311767578,25.87999153137207,224.81414794921875,2.9
100,10,20,0,71.58850860595703,13.102505683898926,108.16475677490234,24.970905303955078,227.02806091308594,2.56
